movie-name,name,rating,review
Weekend at Bernie's V: Extinction,Biff Mahr,0,I don't think Hollywood understands my insatiable appetite for vampires.
Revenge of the Nerds VI: Salvation,Biff Mahr,0,I don't think Hollywood understands my insatiable appetite for zombies.
Revenge of the Nerds III: Apocalypse,Biff Mahr,5,Finally a movie that combines werewolves and male nudity.
The Karate Kid IV: Resurrection,Biff Mahr,3,+1 for having explosions. -1 for no close-ups of explosions.
The Karate Kid V: The Final Chapter,Bonk Moof,3,Okay but hopefully forthcoming the prequel has more male nudity.
Look Who's Talking VI: New Moon,Bronk Mueller,2,+1 for having vampires. -1 for no close-ups of vampires.
Look Who's Talking III: The Last Jedi,Bronk Mueller,3,Only way to improve would be more vampires.
Resident Evil IV: Reloaded,Bronk Mueller,5,Finally a movie that combines werewolves and male nudity.
Resident Evil V: Revelations,Bronk Mueller,2,+1 for having male nudity. -1 for no close-ups of male nudity.
Terminator VI: Retribution,Bronk Mueller,0,I don't think Hollywood understands my insatiable appetite for vampires.
Terminator III: Attack of the Clones,Bzzt Mueller,0,Guess I'll wait for the next reboot to see the explosions I expect.
Star Trek IV: Extinction,Bzzt Mueller,2,Has a reasonably satisfying quantities of explosions.
Star Trek V: Salvation,Bzzt Mueller,0,When I pay good money for zombies. I expects lots of zombies.
Transformers VI: Apocalypse,Bzzt Mueller,0,When I pay good money for male nudity. I expects lots of male nudity.
Transformers III: Resurrection,Bonk Mueller,5,Beautiful non-stop explosions... often in slow motion.
Police Academy IV: The Final Chapter,Bonk Mueller,0,When I pay good money for zombies. I expects lots of zombies.
Police Academy V: New Moon,Bonk Mueller,1,Not nearly enough zombies.
Weekend at Bernie's IV: Attack of the Clones,Bryce Monroe,0,Guess I'll wait for the next reboot to see the explosions I expect.
Weekend at Bernie's V: Extinction,Bronk Mmf,2,Has a reasonably satisfying quantities of vampires.
